abandon оставить
ability способность
able способный
abolish упразднять
abortion аборт
about о
above выше
abroad за границей
absence отсутствие
absent отсутствовать
absolute абсолютный
absolutely абсолютно
absorb поглощать
abstract абстрактный
absurd абсурд
abundance изобилие
abuse злоупотребление
academic академический
academy академия
accelerate ускорять
accent акцент
accept принимать
acceptable приемлемый
acceptance принятие
access доступ
accessible доступный
accident несчастный случай
accidentally случайно
accommodate приспособить
accommodation размещение
accompany сопровождать
accomplish выполнять
accomplishment выполнение
accordance соответствие
according to в соответствии с
accordingly соответственно
account счет
accountability подотчетность
accountable подотчетный
accountant бухгалтер
accounting учет
accumulate накапливать
accumulation накопление
accuracy точность
accurate точный
accurately точно
accusation обвинение
accuse обвинять
accused обвиняемый
achieve достигать
achievement достижение
acid кислота
acknowledge признавать
acquire приобретать
acquisition приобретение
acre акр
across через
act действие
action действие
activate активировать
activation активация
active деятельный
activist активист
activity деятельность
actor актер
actress актриса
actual фактический
actually на самом деле
acute острый
ad реклама
adapt приспособиться
adaptation адаптация
add добавлять
addiction зависимость
addition дополнение
additional дополнительный
additionally дополнительно
address адрес
adequate адекватный
adequately адекватно
adhere придерживаться
adjacent примыкающий
adjust регулировать
adjustment регулировка
administer управлять
administration администрация
administrative административный
administrator администратор
admire восхищаться
admission вход
admit признавать
adolescent подросток
adopt принять
adoption принятие
adult совершеннолетний
advance продвижение
advanced передовой
advantage преимущество
adventure приключение
adverse неблагоприятный
advertise рекламировать
advertisement реклама
advertising реклама
advice консультация
advise советовать
advocate адвокат
aesthetic эстетический
affair дело
affect влиять
affection привязанность
afford позволить себе
affordable доступный
afraid испуганный
after после
aftermath последствия
afternoon время после полудня
afterwards впоследствии
again снова
against против
age возраст
aged престарелый
agency агентство
agenda повестка дня
agent агент
aggression агрессия
aggressive агрессивный
ago назад
agree соглашаться
agreement соглашение
agricultural сельскохозяйственный
agriculture сельское хозяйство
ah ах
ahead впереди
aid помощь
aide помощник
aids СПИД
aim цель
air воздух
aircraft воздушное судно
airline авиакомпания
airport аэропорт
alarm тревога
albeit хотя
album альбом
alcohol алкоголь
alcoholic алкогольный
alert тревога
alien иностранец
align выравнивать
alignment выравнивание
