eng,rus
time,время
person,человек
year,год
way,путь
day,день
thing,вещь
man,мужчина
world,мир
life,жизнь
hand,рука
part,часть
child,ребёнок
eye,глаз
woman,женщина
place,место
work,работа
week,неделя
case,случай
point,точка
government,правительство
company,компания
number,число
group,группа
problem,проблема
fact,факт
be,быть
have,иметь
do,делать
say,говорить
get,получать
make,делать
go,идти
know,знать
take,брать
see,видеть
come,приходить
think,думать
look,смотреть
want,хотеть
give,давать
use,использовать
find,находить
tell,рассказывать
ask,спрашивать
work,работать
seem,казаться
feel,чувствовать
try,пытаться
leave,покидать
call,звонить
good,хороший
new,новый
first,первый
last,последний
long,долгий
great,великий
little,маленький
own,свой
other,другой
old,старый
right,право
big,большой
high,высокий
different,разный
small,маленький
large,крупный
next,следующий
early,ранний
young,молодой
important,важный
few,несколько
public,публичный
bad,плохой
same,тот же
able,способный
home,дом
read,читать
us,нас
move,двигаться
try,попытаться
kind,вид
hand,рука
picture,картина
again,снова
change,изменять
off,выключен
play,играть
spell,произносить по буквам
air,воздух
away,прочь
animal,животное
house,дом
point,указать
page,страница
letter,буква
mother,мать
answer,ответ
found,находить (II и III форма)
study,учиться
still,всё ещё
learn,учить
should,следует
America,Америка
world,мир
music,музыка
